Average_trafic_rate_src_dest,Absolute_num_packets_sent,Absolute_num_packets_dropped,Average_perpacket_delay,Average_neperian_logarithm,Percentile_10_per_packet,Percentile_20_per_packet,Percentile_50_per_packet,Percentile_80_per_packet,Percentile_90_per_packet,jitter,global_packets,global_losses,global_delay
0.326773,0.330674,0,0.113033,-2.51992,0.03,0.03,0.169999,0.169999,0.175678,0.006424,60.152,0,0.230924
0.50795,0.505436,0,0.128901,-2.40902,0.03,0.03,0.169999,0.169999,0.222942,0.010201,60.152,0,0.230924
0.176277,0.176346,0,0.159697,-2.24169,0.03,0.03,0.169999,0.209108,0.322468,0.020708,60.152,0,0.230924
0.474818,0.473362,0,0.206473,-1.9205,0.042,0.042,0.238,0.283866,0.383016,0.02571,60.152,0,0.230924
0.463095,0.462835,0,0.16835,-2.08267,0.042,0.042,0.238,0.238,0.289523,0.012068,60.152,0,0.230924
0.470035,0.473486,0,0.303814,-1.45425,0.072,0.072,0.408,0.442594,0.530158,0.034153,60.152,0,0.230924
0.546506,0.543801,0,0.266668,-1.60265,0.06,0.06,0.339999,0.3825,0.472996,0.028449,60.152,0,0.230924
0.253746,0.255306,0,0.19983,-1.95454,0.042,0.042,0.238,0.272246,0.372613,0.023488,60.152,0,0.230924
0.585292,0.586402,0,0.306254,-1.45138,0.072,0.072,0.408,0.451011,0.536673,0.035359,60.152,0,0.230924
0.425183,0.421993,0,0.345555,-1.34714,0.072,0.074052,0.408,0.488627,0.590218,0.054077,60.152,0,0.230924
0.36385,0.365165,0,0.118064,-2.46924,0.03,0.03,0.169999,0.169999,0.189596,0.006847,72.5725,0,0.26046
0.114774,0.116029,0,0.117582,-2.4955,0.03,0.03,0.169999,0.169999,0.189708,0.007726,72.5725,0,0.26046
0.148145,0.150565,0,0.150315,-2.26866,0.03,0.03,0.169999,0.208174,0.304313,0.014409,72.5725,0,0.26046
0.421955,0.421387,0,0.196923,-1.94979,0.042,0.042,0.238,0.276656,0.363514,0.020398,72.5725,0,0.26046
0.322847,0.320128,0,0.162285,-2.1235,0.042,0.042,0.238,0.238,0.274151,0.011371,72.5725,0,0.26046
0.100785,0.098484,0,0.305659,-1.45246,0.072,0.072,0.408,0.467224,0.535352,0.034906,72.5725,0,0.26046
0.364294,0.364055,0,0.286149,-1.54746,0.06,0.06,0.339999,0.408359,0.502785,0.036491,72.5725,0,0.26046
0.112559,0.110437,0,0.201133,-1.91473,0.042,0.042,0.238,0.28385,0.369823,0.019125,72.5725,0,0.26046
0.617284,0.613489,0,0.336405,-1.35625,0.072,0.07774,0.408,0.494241,0.576469,0.043671,72.5725,0,0.26046
0.681536,0.684226,0,0.33509,-1.3578,0.072,0.080029,0.408,0.479507,0.571869,0.043394,72.5725,0,0.26046
0.438894,0.44,0,0.118766,-2.47245,0.03,0.03,0.169999,0.169999,0.19162,0.007228,72.5073,0,0.253522
0.376782,0.376051,0,0.1235,-2.43181,0.03,0.03,0.169999,0.169999,0.202946,0.007845,72.5073,0,0.253522
0.656095,0.652241,0,0.251927,-1.76357,0.03,0.065603,0.186133,0.379923,0.517311,0.044166,72.5073,0,0.253522
0.700046,0.70281,0,0.298957,-1.52803,0.042,0.094204,0.243548,0.43829,0.579003,0.049195,72.5073,0,0.253522
0.664685,0.662555,0,0.169252,-2.08443,0.042,0.042,0.238,0.238,0.287182,0.0127,72.5073,0,0.253522
0.400938,0.401718,0,0.416368,-1.12522,0.072,0.154874,0.408,0.59789,0.734711,0.067101,72.5073,0,0.253522
0.387823,0.389221,0,0.268325,-1.5978,0.06,0.06,0.339999,0.386372,0.477432,0.029115,72.5073,0,0.253522
0.38842,0.390452,0,0.302779,-1.50729,0.042,0.10019,0.249224,0.440512,0.581472,0.049905,72.5073,0,0.253522
0.624332,0.626039,0,0.460366,-1.01079,0.086723,0.195905,0.429468,0.662601,0.812854,0.078533,72.5073,0,0.253522
0.409372,0.412055,0,0.315446,-1.41931,0.072,0.072,0.408,0.460265,0.550144,0.037527,72.5073,0,0.253522
0.655229,0.655018,0,0.148642,-2.26924,0.03,0.03,0.169999,0.194553,0.299392,0.013982,134.668,2.92749,0.974681
1.36816,1.37237,0,0.190562,-2.05102,0.03,0.03,0.169999,0.285265,0.389578,0.027455,134.668,2.92749,0.974681
0.770658,0.771553,0.005914,4.1579,1.01934,0.629676,1.23006,3.46226,7.04451,8.84936,9.62131,134.668,2.92749,0.974681
0.404042,0.405201,0.04063,5.79756,1.66505,3.14361,4.36293,6.10444,7.34909,7.90518,3.51841,134.668,2.92749,0.974681
0.847622,0.849113,0,0.248105,-1.70932,0.042,0.061595,0.238,0.362457,0.471427,0.034286,134.668,2.92749,0.974681
1.02268,1.02491,0.026892,6.06909,1.54542,1.40233,2.49724,6.01907,9.46231,10.7556,11.9948,134.668,2.92749,0.974681
0.942569,0.942038,0.20372,1.98565,0.601968,1.07644,1.40169,1.98072,2.56275,2.88442,0.507565,134.668,2.92749,0.974681
0.779959,0.779524,0.077678,5.78802,1.66342,3.12739,4.37254,6.0939,7.33282,7.89294,3.49503,134.668,2.92749,0.974681
1.01347,1.01205,0.102879,6.03822,1.71726,3.37375,4.60006,6.33716,7.60024,8.1739,3.57739,134.668,2.92749,0.974681
1.00168,1.00167,0.214899,2.05818,0.642688,1.13687,1.4653,2.05608,2.63916,2.96904,0.521063,134.668,2.92749,0.974681
0.857336,0.857968,0,0.152393,-2.24157,0.03,0.03,0.169999,0.211073,0.305326,0.01382,143.415,5.1872,1.08931
1.11379,1.11831,0,0.152732,-2.17176,0.03,0.03,0.169999,0.224964,0.292399,0.009848,143.415,5.1872,1.08931
0.286271,0.287391,0.000425,3.05106,0.379367,0.176883,0.436108,1.90436,5.00556,7.45484,11.575,143.415,5.1872,1.08931
0.200086,0.198813,0,0.347956,-1.26388,0.099558,0.17306,0.317411,0.490909,0.620334,0.044577,143.415,5.1872,1.08931
1.06366,1.06626,0,0.303533,-1.5704,0.042,0.070951,0.238,0.43213,0.618671,0.0711,143.415,5.1872,1.08931
0.374324,0.375453,0,0.37463,-1.14239,0.123675,0.179704,0.411885,0.553096,0.602899,0.03413,143.415,5.1872,1.08931
0.711358,0.708532,0,0.411027,-1.17017,0.06,0.15516,0.358033,0.59452,0.765382,0.079603,143.415,5.1872,1.08931
0.945667,0.94443,0,0.342417,-1.27531,0.100518,0.174372,0.313111,0.482279,0.602748,0.042188,143.415,5.1872,1.08931
0.953393,0.952724,0,0.464138,-0.943922,0.145058,0.223528,0.458369,0.646585,0.770762,0.061721,143.415,5.1872,1.08931
0.710324,0.711344,0,0.447624,-1.03697,0.09379,0.182712,0.425507,0.627353,0.79013,0.076833,143.415,5.1872,1.08931
1.5084,1.51746,0,0.191635,-1.98575,0.03,0.045428,0.169999,0.285837,0.361066,0.021964,193.914,27.6865,3.32255
0.586157,0.581943,0,0.212996,-1.96256,0.03,0.03,0.169999,0.31207,0.442907,0.041526,193.914,27.6865,3.32255
0.450037,0.452,0.177719,9.39846,2.21709,6.93869,7.85541,9.49311,10.9497,11.6883,3.56604,193.914,27.6865,3.32255
1.90297,1.90265,0.769009,9.46873,2.22595,7.0111,7.9701,9.596,11.0007,11.7043,3.46867,193.914,27.6865,3.32255
1.01537,1.02437,0,0.271557,-1.61715,0.042,0.082101,0.238,0.38845,0.51534,0.045759,193.914,27.6865,3.32255
0.400108,0.40071,0.165196,10.7636,2.32422,6.58026,7.70394,10.462,13.7777,15.3938,11.3512,193.914,27.6865,3.32255
0.904811,0.904261,0.351663,7.27892,1.95076,4.99001,5.69834,7.16303,8.817,9.76317,3.43584,193.914,27.6865,3.32255
0.711151,0.712485,0.002205,3.07848,0.692462,0.469634,0.811378,2.28003,5.24874,7.04641,6.75841,193.914,27.6865,3.32255
0.616306,0.613009,0.003401,3.45785,0.918614,0.777922,1.19189,2.6589,5.53175,7.52863,7.08692,193.914,27.6865,3.32255
1.37084,1.37118,0.535514,7.34797,1.96076,5.04927,5.76481,7.24929,8.88137,9.80654,3.43984,193.914,27.6865,3.32255
1.27061,1.27037,0,0.232284,-1.86446,0.03,0.041375,0.169999,0.344045,0.490504,0.041011,197.064,24.2673,1.96757
1.5686,1.56781,0,0.177704,-2.11822,0.03,0.03,0.169999,0.266146,0.354323,0.022528,197.064,24.2673,1.96757
1.98855,1.98114,1.02874,2.77376,0.9699,1.76305,2.04843,2.67623,3.43912,3.91785,0.763535,197.064,24.2673,1.96757
0.45028,0.446964,0.233662,2.90785,1.02044,1.88055,2.17806,2.81157,3.58959,4.07834,0.781729,197.064,24.2673,1.96757
0.197712,0.19567,0,0.233927,-1.75897,0.042,0.051252,0.238,0.339988,0.429298,0.027987,197.064,24.2673,1.96757
1.7333,1.73672,0.929976,3.88214,1.31308,2.51949,2.91432,3.7951,4.79127,5.36586,1.2563,197.064,24.2673,1.96757
0.781574,0.780894,0.000596,0.885618,-0.413819,0.227152,0.359659,0.704045,1.34845,1.81527,0.424083,197.064,24.2673,1.96757
1.82262,1.82118,0.950776,2.83449,0.992359,1.80897,2.1027,2.72977,3.50576,3.9837,0.78997,197.064,24.2673,1.96757
0.75561,0.756423,0,0.848905,-0.359244,0.291815,0.440179,0.721496,1.19969,1.55565,0.285471,197.064,24.2673,1.96757
1.12272,1.12627,0.000658,0.945888,-0.31056,0.267449,0.42874,0.772468,1.41482,1.8782,0.42918,197.064,24.2673,1.96757
0.239391,0.241263,0,0.134195,-2.31779,0.03,0.03,0.169999,0.187638,0.255359,0.007961,104.267,0,0.339878
0.868988,0.866655,0,0.131005,-2.35324,0.03,0.03,0.169999,0.177943,0.244913,0.007929,104.267,0,0.339878
0.625736,0.629528,0,0.162341,-2.08358,0.03,0.045605,0.169999,0.245691,0.302108,0.009999,104.267,0,0.339878
0.817022,0.820894,0,0.448192,-1.31063,0.042,0.101748,0.274825,0.658839,1.03674,0.24506,104.267,0,0.339878
0.260948,0.26073,0,0.183073,-1.97455,0.042,0.042,0.238,0.264568,0.325528,0.012907,104.267,0,0.339878
0.569859,0.568584,0,0.814209,-0.422865,0.242857,0.418093,0.712975,1.1586,1.47553,0.261877,104.267,0,0.339878
0.581547,0.58288,0,0.593527,-0.809969,0.13373,0.280586,0.483978,0.862361,1.14823,0.196397,104.267,0,0.339878
0.5869,0.592219,0,0.211146,-1.78465,0.042,0.071571,0.238,0.315274,0.373232,0.014493,104.267,0,0.339878
0.129698,0.129848,0,0.414807,-1.10758,0.08676,0.16914,0.408,0.588818,0.725101,0.062226,104.267,0,0.339878
0.577189,0.579614,0,0.655484,-0.677121,0.162166,0.313005,0.555533,0.943082,1.23384,0.203779,104.267,0,0.339878
1.28453,1.28498,0,0.147386,-2.20374,0.03,0.03,0.169999,0.212278,0.281122,0.008868,212.717,38.7411,3.68352
1.54109,1.53899,0,0.215319,-1.82247,0.033447,0.078754,0.184794,0.313972,0.397065,0.023599,212.717,38.7411,3.68352
1.06091,1.06066,0.299392,7.83404,1.97344,4.44804,5.40034,7.52752,10.1239,11.6787,8.76217,212.717,38.7411,3.68352
1.3106,1.31433,0.37314,7.88884,1.98468,4.50054,5.47805,7.57903,10.2197,11.7302,8.57834,212.717,38.7411,3.68352
0.558853,0.558205,0,0.631213,-0.873737,0.103204,0.238,0.437747,0.976983,1.38699,0.347156,212.717,38.7411,3.68352
0.600943,0.601389,0.129146,3.23446,1.08949,1.75101,2.16706,3.04306,4.21728,4.96057,1.69729,212.717,38.7411,3.68352
0.557898,0.556642,0,1.36051,-0.032945,0.339999,0.482726,1.05116,2.09854,2.82981,1.19526,212.717,38.7411,3.68352
0.847131,0.844457,0.237134,7.88531,1.98292,4.46793,5.45365,7.56662,10.2232,11.7418,8.72537,212.717,38.7411,3.68352
1.59298,1.59806,0,0.818024,-0.391011,0.28302,0.425833,0.709019,1.1551,1.48146,0.253287,212.717,38.7411,3.68352
1.16487,1.1646,8.6e-05,1.50564,0.117112,0.408,0.585494,1.21279,2.29817,3.03679,1.25055,212.717,38.7411,3.68352
0.484052,0.483219,0,0.174366,-2.10131,0.03,0.03,0.169999,0.26856,0.336839,0.017453,155.522,5.18565,1.96807
0.304613,0.304656,0,0.157899,-2.19369,0.03,0.03,0.169999,0.227684,0.312516,0.014074,155.522,5.18565,1.96807
1.50167,1.49893,0.134959,5.70501,1.7194,4.35629,4.97839,5.8621,6.53775,6.84219,1.08357,155.522,5.18565,1.96807
1.17105,1.17407,0.105275,5.75744,1.72876,4.39141,5.0225,5.91695,6.59378,6.90593,1.09686,155.522,5.18565,1.96807
0.7391,0.734489,0,0.2126,-1.84056,0.042,0.042,0.238,0.310222,0.388855,0.019705,155.522,5.18565,1.96807
0.384505,0.38291,0,0.603501,-0.625394,0.250121,0.32787,0.623321,0.829824,0.939671,0.072995,155.522,5.18565,1.96807
0.939808,0.940371,0.034588,6.77766,1.74886,2.39322,4.00757,7.14786,9.36878,10.3815,8.82226,155.522,5.18565,1.96807
0.908365,0.907801,0.081188,5.76194,1.72923,4.39946,5.03525,5.92363,6.59506,6.91138,1.10363,155.522,5.18565,1.96807
1.00704,1.00745,0.092606,6.6163,1.86763,5.0253,5.65921,6.6632,7.60967,8.17011,1.64659,155.522,5.18565,1.96807
0.712257,0.713089,0.026377,6.81656,1.7586,2.38788,4.00601,7.19705,9.44204,10.454,8.909,155.522,5.18565,1.96807
0.903026,0.899203,0,0.278255,-1.73531,0.03,0.054358,0.18348,0.427913,0.620398,0.070483,188.044,28.4038,3.39923
1.17884,1.17916,0,0.230655,-1.92497,0.03,0.03,0.169999,0.338389,0.505936,0.050162,188.044,28.4038,3.39923
1.32754,1.32974,0,0.330009,-1.37885,0.082628,0.150371,0.270325,0.473879,0.643753,0.063369,188.044,28.4038,3.39923
0.650325,0.651695,0.141706,13.5738,2.58031,9.88131,11.0346,13.3928,16.0587,17.4673,9.5182,188.044,28.4038,3.39923
0.757938,0.756632,0,0.293123,-1.56454,0.042,0.081188,0.238,0.425402,0.579253,0.054021,188.044,28.4038,3.39923
1.35129,1.36004,0,0.487857,-0.874922,0.168015,0.240897,0.486673,0.669111,0.800801,0.062787,188.044,28.4038,3.39923
1.39968,1.4035,0.243686,6.37596,1.84566,5.46861,5.80679,6.4083,6.95788,7.25547,0.508771,188.044,28.4038,3.39923
1.69142,1.69087,0.364914,13.5107,2.57647,9.86977,11.0275,13.3164,15.9257,17.3787,9.25782,188.044,28.4038,3.39923
0.897419,0.894744,0.19686,14.1872,2.62761,10.5492,11.6456,13.9822,16.6679,18.1609,9.4878,188.044,28.4038,3.39923
0.845474,0.846461,0.157042,6.54913,1.87154,5.58074,5.9164,6.5535,7.18842,7.527,0.615299,188.044,28.4038,3.39923
0.628256,0.626232,0,0.23562,-1.81512,0.03,0.060388,0.179396,0.341145,0.471488,0.038645,140.77,3.71479,0.791844
1.00824,1.0032,0,0.198957,-1.99181,0.03,0.03,0.169999,0.299734,0.397818,0.027427,140.77,3.71479,0.791844
0.757619,0.754255,0,0.713335,-0.837606,0.111613,0.175147,0.485917,1.11929,1.62661,0.505653,140.77,3.71479,0.791844
0.919094,0.921761,0,0.380772,-1.18266,0.099638,0.200852,0.357045,0.563156,0.672496,0.046633,140.77,3.71479,0.791844
0.842927,0.842565,0,0.250737,-1.68624,0.042,0.066168,0.238,0.367217,0.460624,0.032154,140.77,3.71479,0.791844
1.01764,1.01811,0,0.962608,-0.332993,0.238188,0.408,0.767726,1.41987,1.91087,0.548042,140.77,3.71479,0.791844
1.37906,1.3802,5.7e-05,0.719112,-0.598557,0.196398,0.339999,0.590871,1.06006,1.40366,0.262245,140.77,3.71479,0.791844
0.63517,0.634447,0,0.76444,-0.683586,0.144919,0.238948,0.548223,1.17774,1.65595,0.497563,140.77,3.71479,0.791844
1.41285,1.40712,0,0.980869,-0.295567,0.27217,0.424693,0.785642,1.43434,1.91671,0.54838,140.77,3.71479,0.791844
1.07865,1.07368,0.000114,0.785098,-0.478082,0.232603,0.407347,0.664043,1.12901,1.48539,0.27505,140.77,3.71479,0.791844
0.185018,0.184709,0,0.118851,-2.47652,0.03,0.03,0.169999,0.169999,0.190915,0.007517,62.1108,0,0.234348
0.574563,0.573573,0,0.122103,-2.45121,0.03,0.03,0.169999,0.169999,0.196036,0.008212,62.1108,0,0.234348
0.060088,0.06051,0,0.134562,-2.34137,0.03,0.03,0.169999,0.182369,0.259161,0.009331,62.1108,0,0.234348
0.117661,0.117401,0,0.181832,-2.01669,0.042,0.042,0.238,0.252076,0.334722,0.015661,62.1108,0,0.234348
0.438842,0.437981,0,0.16955,-2.09087,0.042,0.042,0.238,0.238,0.290606,0.013482,62.1108,0,0.234348
0.282118,0.285545,0,0.392804,-1.18439,0.09,0.106619,0.51,0.589856,0.672333,0.055694,62.1108,0,0.234348
0.35629,0.358027,0,0.255215,-1.65081,0.06,0.06,0.339999,0.360923,0.457567,0.026829,62.1108,0,0.234348
0.219781,0.219164,0,0.192253,-1.95796,0.042,0.042,0.238,0.268539,0.35424,0.017907,62.1108,0,0.234348
0.492294,0.492505,0,0.318229,-1.39918,0.072,0.080216,0.408,0.474585,0.552519,0.036498,62.1108,0,0.234348
0.154638,0.154037,0,0.304113,-1.45739,0.072,0.072,0.408,0.441463,0.524022,0.035298,62.1108,0,0.234348
1.2197,1.21803,0,0.175052,-2.09076,0.03,0.03,0.169999,0.269072,0.337685,0.017216,177.065,12.5022,1.76435
1.61192,1.61075,0,0.353762,-1.4397,0.03,0.142322,0.273986,0.54261,0.748074,0.091231,177.065,12.5022,1.76435
0.544342,0.545894,0.09115,2.94021,1.04965,2.18052,2.49968,3.00595,3.4292,3.62816,0.356118,177.065,12.5022,1.76435
1.18362,1.18458,0.196742,2.99103,1.06972,2.22033,2.54998,3.05076,3.47674,3.68904,0.357279,177.065,12.5022,1.76435
0.746125,0.751603,0,0.424647,-1.1524,0.085191,0.191876,0.353427,0.630489,0.828065,0.096236,177.065,12.5022,1.76435
1.22496,1.22804,0.20319,3.32158,1.17606,2.48785,2.81525,3.35475,3.85132,4.11911,0.448381,177.065,12.5022,1.76435
1.06004,1.05837,0.066901,2.77863,0.891872,1.13459,1.76054,2.89821,3.75937,4.14977,1.27293,177.065,12.5022,1.76435
1.20724,1.21145,0.198723,2.99551,1.07024,2.21393,2.54404,3.06272,3.49159,3.69932,0.369613,177.065,12.5022,1.76435
0.487751,0.49424,0.081444,3.31169,1.17277,2.48881,2.80376,3.34561,3.84787,4.1116,0.451108,177.065,12.5022,1.76435
